Sprite rarity,sprite ID,sprite icon,sprite name,Main type,sub type,attack type,resistances,weaknesses,LocationID,Location name,SublocationID,Sublocation Name,Location hint
c,1,,,Mechanical,DPS,piercing,ground,,128,Limsa upper deck,,,
c,2,,,Creature,DPS,air,"air, fire",electric,128,Limsa upper deck,,,
c,3,,,Figure,Status,ground,,ground,128,Limsa upper deck,,,
,,,,,,,,,,,,,
u,4,,,Mechanical,Status,"fire, air",,,147,Northern thanalan,328,Abandoned Amajina Mythril Mine,a bunch of lunatics!
r,5,,,Creature,Tank,blunt,,,147,Northern thanalan,326,East Watchtower,Lookout!
c,6,,,Mechanical,Tank,"air, physical",,blunt,147,Northern thanalan,,,
c,7,,,Mechanical,Status,"electric, air",,,147,Northern thanalan,,,
,,,,,,,,,,,,,
c,8,,,Mechanical,Status,magic,,,141,Central Thanalan,,,
u,9,,,Mechanical,DPS,fire,,,141,Central Thanalan,293,Hellsbrood Holes,ant ant ant
r,10,,,Beast,Tank,air,,,141,Central Thanalan,295,The Bonfire,gem exchange
,,,,,,,,,,,,,
c,11,,,Creature,Tank,"piercing, magic, fire",,,140,Western Thanalan,,,
c,12,,,Beast,DPS,"air, physical, piercing",,,140,Western Thanalan,,,
c,13,,,Figure,Status,"fire, ice",,,140,Western Thanalan,,,
u,14,,,Beast,Tank,"blunt, electic",,electric,140,Western Thanalan,262,Beaconhill Lighthouse,light on a hill
,,,,,,,,,,,,,
r,15,,,Figure,Tank,fire,,magic,145,Eastern Thanalan,307,Highbridge,long way down!
c,16,,,Mechanical,Status,physical,,,145,Eastern Thanalan,,,
c,17,,,Mechanical,Tank,air,,,145,Eastern Thanalan,,,
c,18,,,Creature,Tank,physical,,,145,Eastern Thanalan,,,
,,,,,,,,,,,,,
u,19,,,Figure,Status,fire,magic,,146,Southern Thanalan,315,The Sepulchre,Infernal troupe
r,20,,,Figure,Tank,electric,ice,"physical, fire",146,Southern Thanalan,324,Byregot's Strike,drill baby drill
c,21,,,Figure,Status,"ice, blunt",,"physical, fire",146,Southern Thanalan,,,
c,22,,,Creature,DPS,electric,,ground,146,Southern Thanalan,,,
,,,,,,,,,,,,,
c,23,,,Beast,Status,"air, magic, blunt",,,134,Middle la noscea,,,
u,24,,,Creature,Tank,"ground, fire",,,134,Middle la noscea,194,Foremast,yellow formation
